                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48238,                0.32907,                 1.0025,                0.98597,                0.97269,                0.99287,                0.88626,                0.52062,                0.23307,                 1.0578,             0.00036307,             0.00036307,             0.00036307
                     37,                0.47875,                0.32759,                0.99895,                0.98212,                0.97837,                0.99251,                0.89099,                0.51246,                0.23682,                 1.0602,             0.00034108,             0.00034108,             0.00034108
                     38,                0.46737,                0.32704,                0.99452,                0.97993,                0.97911,                0.99227,                0.88838,                0.51536,                0.23606,                 1.0563,             0.00031908,             0.00031908,             0.00031908
                     39,                0.46917,                0.31927,                0.99407,                0.98372,                0.98459,                0.98893,                0.88094,                 0.5225,                 0.2396,                 1.0636,             0.00029708,             0.00029708,             0.00029708
                     40,                0.45737,                0.30867,                0.98645,                0.98606,                0.99341,                0.99393,                0.89136,                0.51488,                0.21167,                 1.0554,             0.00027508,             0.00027508,             0.00027508
                     41,                0.39885,                0.19288,                0.98665,                0.98539,                0.98003,                0.99146,                0.88851,                0.52033,                0.22705,                 1.0676,             0.00025309,             0.00025309,             0.00025309
                     42,                0.39179,                0.18371,                0.98451,                0.98593,                0.97888,                0.99324,                 0.8859,                0.53016,                 0.2214,                 1.0825,             0.00023109,             0.00023109,             0.00023109
                     43,                0.38022,                0.18122,                0.97038,                 0.9822,                 0.9796,                0.98802,                 0.8826,                0.52233,                0.23345,                 1.0755,             0.00020909,             0.00020909,             0.00020909
                     44,                0.36752,                0.17119,                0.95693,                0.95763,                 0.9779,                0.98137,                0.87616,                0.52909,                0.26017,                 1.0794,             0.00018709,             0.00018709,             0.00018709
                     45,                0.36022,                0.16629,                 0.9513,                0.98059,                0.96367,                0.98472,                0.88616,                0.51704,                0.23921,                 1.0656,             0.00016509,             0.00016509,             0.00016509
                     46,                0.35033,                0.16128,                0.94234,                0.98812,                0.97978,                0.98892,                0.88873,                0.52324,                0.21439,                 1.0798,              0.0001431,              0.0001431,              0.0001431
                     47,                0.34165,                0.15762,                 0.9353,                0.97802,                0.99073,                0.99066,                0.89091,                0.52392,                0.21257,                 1.0849,              0.0001211,              0.0001211,              0.0001211
                     48,                0.33147,                0.15373,                0.92649,                0.97786,                  0.988,                 0.9905,                 0.8911,                0.52609,                0.21854,                 1.0883,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.31765,                0.14729,                0.91807,                0.98143,                 0.9852,                0.99045,                0.89387,                0.52677,                 0.2202,                 1.0946,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.31228,                0.14515,                 0.9128,                0.97731,                0.98261,                0.99235,                0.89089,                0.53227,                0.22215,                 1.1005,             5.5106e-05,             5.5106e-05,             5.5106e-05
